"ID","Source type","Platform","Date","Title or trace","Relationship","Evidence captured","Confidence","Action","URL"
"S001","Owned social","Instagram","2016-2026","@hinge_and_rule main archive","Self-authored","540-post public archive; profile states interior, furniture, brand and spatial design","High","Preserve and index","https://www.instagram.com/hinge_and_rule/"
"S002","Owned social","Instagram","2020-2026","@hinge_and_rule_official portfolio","Self-authored","131-post selected portfolio","High","Stop duplication; point to canonical index","https://www.instagram.com/hinge_and_rule_official/"
"S003","Owned social","Threads","2025-2026","@hinge_and_rule text channel","Self-authored","Method, field, business and making commentary","High","Preserve selected method notes","https://www.threads.com/@hinge_and_rule"
"S004","Service profile","Soomgo","Current","Hinge & Rule service profile","Platform record","Site inspection, layout, estimating, construction sequence and A/S terms","High","Archive profile and verify current terms","https://soomgo.com/profile/users/13502912"
"S005","Project page","Soomgo","2024-09-25","Hongdae driving-practice space","Platform record","Mapo; KRW 47m; one month; concept to detailed design, site and completion","High","Core case 01","https://soomgo.com/portfolio/detail/69086a4cd16fbb3fbe97d08a"
"S006","Project page","Soomgo","2025-12-04","Cerawork Studio","Platform record","KRW 35m; full interior; workflow, custom furniture and symbol renewal","High","Core case 02","https://soomgo.com/portfolio/detail/69316fb8d829d73198ea0269"
"S007","Client tag","Instagram","2022","Yeongjong residence washstand","Third party","Architect credited for washstand plan; Hinge & Rule credited for furniture design","High","Core case 03; request rights","https://www.instagram.com/p/Cg6kEkWr0Ta/"
"S008","Client tag","Instagram","2022","Yeongjong facing kitchen","Third party","Completed kitchen and dining space directly tags Hinge & Rule","High","Join to core case 03","https://www.instagram.com/p/Cgy2h2nLRLS/"
"S009","Client tag","Instagram","2022","Yeongjong residence construction diary","Third party","Client describes collaboration and progress checking during construction","High","Join to core case 03","https://www.instagram.com/p/CfTjeeoFerk/"
"S010","Client tag","Instagram","2022","Yeongjong dining room","Third party","Completed space directly tags Hinge & Rule","Medium-High","Join to core case 03","https://www.instagram.com/p/CgwdMOrBuWR/"
"S011","Client collaboration","Instagram","2023","Soappuccino lauan diffuser tray","Third party","Names Hinge & Rule as direct maker of the tray","High","Core case 04; recover specs","https://www.instagram.com/p/Cu0xJZgSOBj/"
"S012","Client collaboration","Instagram","2023","Soappuccino diffuser tray promotion","Third party","Credits Hinge & Rule × Soappuccino and links object to sales promotion","High","Join to core case 04","https://www.instagram.com/p/Cwwf7NKyCzC/"
"S013","Client tag","Instagram","2021","Soappuccino soap display","Third party","Thanks Hinge & Rule for work and identifies completed soap display","High","Secondary scent/object origin","https://www.instagram.com/p/CK5LsyjnnWD/"
"S014","Owned project","Instagram","2026","Maison Fantasia role statement","Self-authored","Interior concept, furniture design and making stated","High for claim; needs client confirmation","Core case 05","https://www.instagram.com/hinge_and_rule/p/Daj0wMVj2Op/"
"S015","Client media","YouTube","2026","Maison Fantasia short","Third party","Client channel uses Hinge & Rule tag in published short","Medium-High","Join to core case 05","https://www.youtube.com/shorts/mdxBninYrlY"
"S016","Client media","Instagram","2026","Maison Fantasia transition post","Third party","Client-side account uses Hinge & Rule tag in project context","Medium-High","Join to core case 05; inspect full caption","https://www.instagram.com/p/DYPLXEnD3ta/?img_index=5"
"S017","Owned project","Instagram","2021","Chaeumso / Project Sumboy","Self-authored","Concept meetings and layout transition described in indexed text","High for authored claim","Candidate early commercial case","https://www.instagram.com/p/CNAeQ8HBiHP/"
"S018","Owned project","Instagram","2021","Yewon Piano Academy","Self-authored","Named project indexed with Hinge & Rule Design","High for authored claim","Candidate education case","https://www.instagram.com/p/CXtPv0GhY1_/"
"S019","Owned project","Instagram","2020","Yoga Garden","Self-authored","Named Yeongjong yoga-studio project indexed","High for authored claim","Candidate wellness case","https://www.instagram.com/p/CDJRKOIHcYl/"
"S020","Client tag","Instagram","2019","Nail Gonggam","Third party","Client construction/opening post tags Hinge & Rule and interior categories","High","Candidate early commercial case","https://www.instagram.com/p/BzP1rv4pzlu/"
"S021","Client tag","Instagram","2019","Nail Gonggam pre-opening","Third party","Second client post ties Hinge & Rule to the interior build","High","Join to S020","https://www.instagram.com/p/BzAm1HspbWJ/"
"S022","Owned project","Instagram","2022","Halla Vivaldi","Self-authored","Named residential/project trace","High for authored claim","Candidate residential chronology","https://www.instagram.com/p/CY3UNLhvYCs/"
"S023","Owned project","Instagram","2023","Ieol/Year Around","Self-authored","Named commercial-interior trace; spelling inconsistent","Medium","Verify canonical project name","https://www.instagram.com/p/CnQdNk_vqiJ/"
"S024","Owned archive","Instagram","2020","Full-demolition / ownership-transfer note","Self-authored","Describes rare full demolition and prior spaces changing owners","High for authored statement","Use in archive-transition narrative","https://www.instagram.com/p/CHFRB-hn82b/"
"S025","Client tag","Instagram","2022","Residence light/object thanks","Third party","Resident thanks Hinge & Rule representative for a lighting object","Medium-High","Join only if same residence and rights confirmed","https://www.instagram.com/p/CjKLp99rGLb/"
"S026","Customer record","Today House","Current index","Furniture representative thanks","Third party","Customer-side card thanks Hinge & Rule furniture representative","Medium-High","Open manually and connect to project","https://ohou.se/cards/21506991"
