"Seed","Canonical or current identity","Hinge-owned trace","External continuity trace","Evidence state","Next action"
"차덕분","차덕분 영종도본점","Instagram reel B15vwtRH1xu; 2019-09-02; #차덕분 아침의차덕분","Korea Tourism Organization and Incheon Tourism current listings","CONFIRMED_OWNED_TRACE + CURRENT_BUSINESS","Recover full project cluster and exact scope"
"페브","페브 플라워 / 페브커피","Not yet recovered","Current Yeongjong flower-shop/cafe traces","IDENTITY_FOUND / HINGE_LINK_OPEN","Find old account handles, address and tagged posts"
"해피브릭","Yeongjong Happy Brick; exact entity pending","Not yet recovered","Travel/map traces place a Happy Brick in Yeongjong; ecommerce namesake causes collision","AMBIGUOUS_IDENTITY","Confirm address, business category, owner/account and project year"
"요가뜰","요가원 뜰 / 요가원뜰","Instagram post CDJRKOIHcYl; 2020-07-27; #요가원 #영종도요가 #요가원뜰 #힌지앤룰디자인","No reliable independent client source yet","CONFIRMED_OWNED_TRACE","Recover adjacent carousel posts and client permission"
"예원피아노","예원피아노학원","Instagram post CXtPv0GhY1_; 2021-12-20; #예원피아노학원 #힌지앤룰디자인","Academy directory says opened 2021-07-01 in Unseo-dong","CONFIRMED_OWNED_TRACE + CURRENT_IDENTITY","Verify precise scope and whether the space is still in use"
"정갈스레","정갈스레 / jeonggalseure_2019","Instagram reel CUMnCTwh1xP; 2021-09-24; #정갈스레","Owner comment thanks Hinge for making it more beautiful than expected; current brand account remains indexed","STRONG_CLIENT_CORROBORATION","Promote to core local case; request reuse rights"
"취리희","취리희; often mistyped 취리히","Instagram post CIXrOwvA8w7; 2020-12-04; #구읍뱃터 #중식당 #취리희","Dining/review traces identify a Yeongjong Chinese restaurant","CONFIRMED_OWNED_TRACE + CURRENT_IDENTITY","Recover completion images and exact role"
"뭐해줄까","Unresolved","Not yet recovered","Search results are generic phrase collisions","UNRESOLVED","Obtain spelling, category, approximate year or account handle"
"체이스커피","체이스커피 / Chase Coffee","Instagram post CIam9fsA8yd; 2020-12-05; awning/site response","Current cafe/review traces identify Unseo-dong business","CONFIRMED_OWNED_TRACE + CURRENT_BUSINESS","Determine whether Hinge scope was awning only or broader"
"벗터","벗터 kids baking class","Instagram post Brg7n8in_qV; 2018-12-18; #벗터 #힌지앤룰 #키즈베이킹클래스","No reliable independent current source yet","CONFIRMED_OWNED_TRACE","Recover adjacent posts, address and operation history"
"알파콜렉티브","Ahlfah! Collective / 알파 콜렉티브","Instagram post Dbaq836PyoM; 2026-07-30; Project Te Part 2 exhibition record","News reports identify Seoul venue and Busan-incubated Naviflex as operator","CONFIRMED_EVENT_TRACE / ROLE_OPEN","Separate exhibition participation, spatial design and operator-origin claims"
